Prefetcher	Start	End	Vertices Requested	Vertices Evicted	Cache Hits	 Cache Misses	Total Runtime	Total DB time	DB calls
Null Prefetcher	1	50	6573	0	1404	5169	11216666087	10446428755	5169
Lookahead (40)	1	50	8469	0	8462	7	1730084436	844093785	287
Lookahead (45)	1	50	8490	0	8483	7	1963911782	1000541954	322
Lookahead (50)	1	50	8347	0	8343	4	1657305985	720034685	204
Block (10000)	1	50	6573	0	6433	140	9623669950	8568346637	140
Block (20000)	1	50	6573	0	6531	42	5438942917	3245356875	42
CTE Lookahead (1)	1	50	6573	0	1404	5169	4273192301	3643995281	5169
CTE Lookahead (2)	1	50	6591	0	4189	2402	1893111458	1500554259	2402
CTE Lookahead (3)	1	50	11820	0	10520	1300	1580323899	1052473704	1300
CTE Lookahead (4)	1	50	17204	0	16385	819	1599244899	804598715	819
CTE Lookahead (5)	1	50	38760	0	38216	544	3134754747	992837901	544
Null Prefetcher	1	50	6573	0	1404	5169	11713927537	11205255503	5169
Lookahead (40)	1	50	8469	0	8462	7	1684578242	855077202	287
Lookahead (45)	1	50	8490	0	8483	7	2004825947	1041153878	322
Lookahead (50)	1	50	8347	0	8343	4	1569628392	716425903	204
Block (10000)	1	50	6573	0	6433	140	9136643729	8137614027	140
Block (20000)	1	50	6573	0	6531	42	5692378186	3364470786	42
CTE Lookahead (1)	1	50	6573	0	1404	5169	3519459376	3014446302	5169
CTE Lookahead (2)	1	50	6591	0	4189	2402	2182867519	1723669175	2402
CTE Lookahead (3)	1	50	11820	0	10520	1300	1457546778	1012764959	1300
CTE Lookahead (4)	1	50	17204	0	16385	819	1595439445	839524142	819
CTE Lookahead (5)	1	50	38760	0	38216	544	3354528468	981572141	544
Null Prefetcher	1	50	6573	0	1404	5169	12487793598	11981394553	5169
Lookahead (40)	1	50	8469	0	8462	7	1728747588	917289792	287
Lookahead (45)	1	50	8490	0	8483	7	2289744485	1086763550	322
Lookahead (50)	1	50	8347	0	8343	4	1442562695	640060737	204
Block (10000)	1	50	6573	0	6433	140	9123484599	8173891089	140
Block (20000)	1	50	6573	0	6531	42	4892849734	2997436634	42
CTE Lookahead (1)	1	50	6573	0	1404	5169	4288219700	3722103943	5169
CTE Lookahead (2)	1	50	6591	0	4189	2402	1915816488	1532950542	2402
CTE Lookahead (3)	1	50	11820	0	10520	1300	1644126072	1165376489	1300
CTE Lookahead (4)	1	50	17204	0	16385	819	1711238564	931003041	819
CTE Lookahead (5)	1	50	38760	0	38216	544	3182413561	945479791	544